plotID,siteID,eventID,year,plotType,totalSampledAreaTrees,n_tree_stems,n_mapped,frac_stems_unmapped,coverage_ok,agb_mg_ha
GRSM_060,GRSM,vst_GRSM_2022,2022,tower,800.0,62,62,0.0,True,194.31696843858057
GRSM_060,GRSM,vst_GRSM_2023,2023,tower,400.0,65,64,0.01538461538461533,True,396.0086030237402
GRSM_060,GRSM,vst_GRSM_2024,2024,tower,800.0,70,69,0.014285714285714235,True,175.13159319411903
GRSM_060,GRSM,vst_GRSM_2025,2025,tower,800.0,73,72,0.013698630136986356,True,163.858765248644
GRSM_061,GRSM,vst_GRSM_2016,2016,tower,800.0,63,63,0.0,True,189.96105271809455
GRSM_061,GRSM,vst_GRSM_2017,2017,tower,800.0,62,62,0.0,True,208.9909391962299
GRSM_061,GRSM,vst_GRSM_2019,2019,tower,800.0,74,74,0.0,True,198.15898118599128
GRSM_061,GRSM,vst_GRSM_2024,2024,tower,800.0,131,131,0.0,True,206.06241080605727
GRSM_062,GRSM,vst_GRSM_2015,2015,tower,800.0,62,62,0.0,True,107.05946043828627
GRSM_062,GRSM,vst_GRSM_2016,2016,tower,800.0,60,59,0.01666666666666672,True,119.12992704240139
GRSM_062,GRSM,vst_GRSM_2017,2017,tower,800.0,37,37,0.0,True,107.14678660266416
GRSM_062,GRSM,vst_GRSM_2019,2019,tower,800.0,32,32,0.0,True,9.21162748081387
GRSM_062,GRSM,vst_GRSM_2024,2024,tower,800.0,104,104,0.0,True,15.71718359904225
GRSM_063,GRSM,vst_GRSM_2015,2015,tower,800.0,51,51,0.0,True,389.5724342661207
GRSM_063,GRSM,vst_GRSM_2016,2016,tower,800.0,55,55,0.0,True,344.4134805774308
GRSM_063,GRSM,vst_GRSM_2017,2017,tower,800.0,48,48,0.0,True,330.9161760227332
GRSM_063,GRSM,vst_GRSM_2019,2019,tower,800.0,43,43,0.0,True,348.00911511176366
GRSM_063,GRSM,vst_GRSM_2024,2024,tower,800.0,45,45,0.0,True,378.3335504190114
GRSM_064,GRSM,vst_GRSM_2015,2015,tower,800.0,62,62,0.0,True,285.225638356142
GRSM_064,GRSM,vst_GRSM_2016,2016,tower,800.0,62,62,0.0,True,249.98067115548062
GRSM_064,GRSM,vst_GRSM_2017,2017,tower,800.0,39,39,0.0,True,250.3107912771511
GRSM_064,GRSM,vst_GRSM_2019,2019,tower,800.0,44,44,0.0,True,276.3551067516325
GRSM_064,GRSM,vst_GRSM_2024,2024,tower,800.0,80,80,0.0,True,296.85514673892294
GRSM_065,GRSM,vst_GRSM_2015,2015,tower,800.0,54,53,0.01851851851851849,True,174.16168830378155
GRSM_065,GRSM,vst_GRSM_2016,2016,tower,800.0,49,49,0.0,True,190.25553774746407
GRSM_065,GRSM,vst_GRSM_2017,2017,tower,800.0,44,44,0.0,True,186.8546468813907
GRSM_065,GRSM,vst_GRSM_2019,2019,tower,800.0,40,40,0.0,True,172.1781239282779
GRSM_065,GRSM,vst_GRSM_2024,2024,tower,800.0,50,50,0.0,True,210.2276727642752
GRSM_066,GRSM,vst_GRSM_2015,2015,tower,800.0,26,23,0.11538461538461542,False,266.73929236826376
GRSM_066,GRSM,vst_GRSM_2016,2016,tower,800.0,29,29,0.0,True,269.65691929836083
GRSM_066,GRSM,vst_GRSM_2017,2017,tower,800.0,28,28,0.0,True,272.52183199612887
GRSM_066,GRSM,vst_GRSM_2019,2019,tower,800.0,29,29,0.0,True,280.0987597648452
GRSM_066,GRSM,vst_GRSM_2024,2024,tower,800.0,41,41,0.0,True,284.8037852868649
GUAN_002,GUAN,vst_GUAN_2015,2015,distributed,400.0,61,1,0.9836065573770492,False,0.20217223287700767
GUAN_002,GUAN,vst_GUAN_2017,2017,distributed,400.0,20,1,0.95,False,0.17013625802661
GUAN_002,GUAN,vst_GUAN_2023,2023,distributed,400.0,19,1,0.9473684210526316,False,0.17783195115979314
GUAN_004,GUAN,vst_GUAN_2016,2016,distributed,400.0,65,2,0.9692307692307692,False,0.02876484116334921
GUAN_004,GUAN,vst_GUAN_2017,2017,distributed,400.0,15,2,0.8666666666666667,False,0.0378206600969738
GUAN_004,GUAN,vst_GUAN_2023,2023,distributed,400.0,17,2,0.8823529411764706,False,0.024870276821763654
GUAN_005,GUAN,vst_GUAN_2023,2023,distributed,400.0,15,1,0.9333333333333333,False,0.0020327220880183836
GUAN_006,GUAN,vst_GUAN_2017,2017,distributed,400.0,39,27,0.3076923076923077,False,1.6795144559127206
GUAN_006,GUAN,vst_GUAN_2023,2023,distributed,400.0,20,10,0.5,False,0.9276798514409488
GUAN_009,GUAN,vst_GUAN_2016,2016,distributed,400.0,40,26,0.35,False,2.559402056035725
GUAN_009,GUAN,vst_GUAN_2017,2017,distributed,400.0,41,27,0.3414634146341463,False,3.171419058649369
GUAN_012,GUAN,vst_GUAN_2017,2017,distributed,400.0,9,2,0.7777777777777778,False,0.010429595679708293
GUAN_012,GUAN,vst_GUAN_2023,2023,distributed,400.0,8,1,0.875,False,0.0025904104271457454
GUAN_015,GUAN,vst_GUAN_2016,2016,distributed,400.0,30,2,0.9333333333333333,False,0.4473080426515401
GUAN_015,GUAN,vst_GUAN_2017,2017,distributed,400.0,38,6,0.8421052631578947,False,0.7545635227980275
GUAN_015,GUAN,vst_GUAN_2023,2023,distributed,400.0,33,3,0.9090909090909091,False,0.5000310612836183
GUAN_016,GUAN,vst_GUAN_2023,2023,distributed,400.0,20,1,0.95,False,0.009065978349158253
GUAN_018,GUAN,vst_GUAN_2016,2016,distributed,400.0,33,21,0.36363636363636365,False,5.192736908131551
GUAN_018,GUAN,vst_GUAN_2017,2017,distributed,400.0,23,21,0.08695652173913049,True,5.630633217695907
GUAN_018,GUAN,vst_GUAN_2023,2023,distributed,400.0,19,16,0.1578947368421053,False,4.758484191079006
GUAN_020,GUAN,vst_GUAN_2017,2017,distributed,400.0,4,1,0.75,False,0.049206660375893496
GUAN_042,GUAN,vst_GUAN_2016,2016,tower,800.0,95,9,0.9052631578947369,False,0.28413244085243855
GUAN_042,GUAN,vst_GUAN_2017,2017,tower,800.0,103,10,0.9029126213592233,False,0.29147125123379947
GUAN_042,GUAN,vst_GUAN_2018,2018,tower,800.0,58,6,0.896551724137931,False,0.15816510032991365
GUAN_042,GUAN,vst_GUAN_2019,2019,tower,800.0,57,6,0.8947368421052632,False,0.16553758250709422
GUAN_042,GUAN,vst_GUAN_2020,2020,tower,800.0,57,5,0.9122807017543859,False,0.16995161785705726
GUAN_042,GUAN,vst_GUAN_2021,2021,tower,800.0,58,5,0.9137931034482758,False,0.17263259696620614
GUAN_042,GUAN,vst_GUAN_2022,2022,tower,800.0,58,5,0.9137931034482758,False,0.17093344839151772
GUAN_042,GUAN,vst_GUAN_2023,2023,tower,800.0,64,4,0.9375,False,0.12999791303829158
GUAN_042,GUAN,vst_GUAN_2024,2024,tower,800.0,64,3,0.953125,False,0.13998996204052866
GUAN_043,GUAN,vst_GUAN_2016,2016,tower,800.0,99,30,0.696969696969697,False,9.871864619861126
GUAN_043,GUAN,vst_GUAN_2017,2017,tower,800.0,83,24,0.7108433734939759,False,57.872215173288986
GUAN_043,GUAN,vst_GUAN_2018,2018,tower,800.0,52,13,0.75,False,3.855822146328763
GUAN_043,GUAN,vst_GUAN_2019,2019,tower,800.0,50,13,0.74,False,4.130067215646306
GUAN_043,GUAN,vst_GUAN_2020,2020,tower,800.0,46,10,0.782608695652174,False,5.062524419696986
GUAN_043,GUAN,vst_GUAN_2021,2021,tower,800.0,45,9,0.8,False,4.967995451670847
