plot,agb_kg_sum,agbd_ha_derived,agbd_ha,rel_err
NASA01,25867.85303698749,25.86785303698749,26.18,0.011923107830882702
NASA02,268656.79982977716,268.6567998297771,267.5,0.004324485344961227
NASA03,48860.39480989693,48.860394809896924,49.06,0.004068593357176482
NASA05,86507.48612805383,86.50748612805383,86.81,0.0034847813840130754
NASA09,3439.6837557653243,3.439683755765324,3.59,0.04187082012107959
NASA10,99361.38358079773,99.36138358079774,99.79,0.0042951840785877445
NASA11,31446.524567330125,31.446524567330126,31.85,0.012667988466872065
NASA13,230969.83147972354,230.96983147972352,231.73,0.0032804061635371582
NASA14,147390.47487462117,147.39047487462116,148.01,0.004185697759467796
NASA19,5256.138726838414,5.256138726838414,5.5,0.044338413302106486
NASA20,73428.03767699855,73.42803767699854,73.99,0.007595111812426714
NASA21,3107.597524973937,3.1075975249739374,3.26,0.04674922546811731
NASA21A,129909.79593729858,129.90979593729858,130.5,0.004522636495796302
NASA22,268292.24621467385,268.29224621467387,269.89,0.00592001847169632
NASA23,119419.59304834678,119.41959304834678,119.98,0.004670836403177368
